origin,destination,departure_time,arrival_time,duration,fare,nonstop,layovers
DEN,STL,2024-12-01T20:25:00,2024-12-02T10:27:00,PT13H2M,643.64,False,ORD
DEN,STL,2024-12-01T23:55:00,2024-12-02T12:19:00,PT11H24M,643.64,False,ORD
DEN,STL,2024-12-01T07:49:00,2024-12-01T14:25:00,PT5H36M,670.56,False,ORD
DEN,STL,2024-12-02T06:26:00,2024-12-02T09:37:00,PT2H11M,275.6,True,None
DEN,STL,2024-12-02T17:43:00,2024-12-02T20:45:00,PT2H2M,388.47,True,None
DEN,STL,2024-12-02T09:40:00,2024-12-02T12:43:00,PT2H3M,388.47,True,None
DEN,STL,2024-12-02T13:29:00,2024-12-02T16:32:00,PT2H3M,388.47,True,None
DEN,STL,2024-12-02T06:26:00,2024-12-02T09:37:00,PT2H11M,275.6,True,None
DEN,STL,2024-12-02T17:43:00,2024-12-02T20:45:00,PT2H2M,388.47,True,None
DEN,STL,2024-12-02T09:40:00,2024-12-02T12:43:00,PT2H3M,388.47,True,None
DEN,STL,2024-12-02T13:29:00,2024-12-02T16:32:00,PT2H3M,388.47,True,None
DEN,STL,2024-12-02T09:42:00,2024-12-02T15:39:00,PT4H57M,397.51,False,ORD
DEN,STL,2024-12-02T11:15:00,2024-12-02T17:15:00,PT5H,397.51,False,ORD
DEN,STL,2024-12-02T06:05:00,2024-12-02T12:19:00,PT5H14M,397.51,False,ORD
DEN,STL,2024-12-02T13:25:00,2024-12-02T19:51:00,PT5H26M,397.51,False,ORD
DEN,STL,2024-12-02T07:49:00,2024-12-02T14:25:00,PT5H36M,397.51,False,ORD
DEN,STL,2024-12-02T07:49:00,2024-12-02T15:39:00,PT6H50M,397.51,False,ORD
DEN,STL,2024-12-02T13:25:00,2024-12-02T21:36:00,PT7H11M,397.51,False,ORD
DEN,STL,2024-12-02T06:05:00,2024-12-02T14:25:00,PT7H20M,397.51,False,ORD
DEN,STL,2024-12-02T11:15:00,2024-12-02T19:51:00,PT7H36M,397.51,False,ORD
DEN,STL,2024-12-02T09:42:00,2024-12-02T17:15:00,PT6H33M,397.51,False,ORD
DEN,STL,2024-12-02T15:24:00,2024-12-02T21:36:00,PT5H12M,493.19,False,ORD
DEN,STL,2024-12-02T13:49:00,2024-12-02T23:59:00,PT9H10M,509.31,False,SEA
DEN,STL,2024-12-02T10:42:00,2024-12-02T23:59:00,PT12H17M,514.64,False,SEA
DEN,STL,2024-12-02T21:40:00,2024-12-03T13:24:00,PT14H44M,514.64,False,SEA
DEN,STL,2024-12-02T17:42:00,2024-12-03T13:24:00,PT18H42M,514.64,False,SEA
DEN,STL,2024-12-02T20:55:00,2024-12-03T10:18:00,PT12H23M,523.24,False,LAS
DEN,STL,2024-12-02T18:40:00,2024-12-03T10:18:00,PT14H38M,523.24,False,LAS
DEN,STL,2024-12-02T20:48:00,2024-12-03T16:38:00,PT18H50M,561.33,False,PDX
DEN,STL,2024-12-02T19:20:00,2024-12-03T16:38:00,PT20H18M,561.33,False,PDX
DEN,MCI,2024-12-01T06:00:00,2024-12-01T08:40:00,PT1H40M,275.6,True,None
DEN,MCI,2024-12-01T10:10:00,2024-12-01T12:50:00,PT1H40M,337.95,True,None
DEN,MCI,2024-12-01T13:28:00,2024-12-01T16:08:00,PT1H40M,337.95,True,None
DEN,MCI,2024-12-01T17:50:00,2024-12-01T20:30:00,PT1H40M,337.95,True,None
DEN,MCI,2024-12-01T21:04:00,2024-12-01T23:44:00,PT1H40M,337.95,True,None
DEN,MCI,2024-12-01T08:01:00,2024-12-01T10:51:00,PT1H50M,337.95,True,None
DEN,MCI,2024-12-01T23:59:00,2024-12-02T02:44:00,PT1H45M,607.77,True,None
DEN,MCI,2024-12-01T06:00:00,2024-12-01T08:40:00,PT1H40M,275.6,True,None
DEN,MCI,2024-12-01T10:10:00,2024-12-01T12:50:00,PT1H40M,337.95,True,None
DEN,MCI,2024-12-01T13:28:00,2024-12-01T16:08:00,PT1H40M,337.95,True,None
DEN,MCI,2024-12-01T17:50:00,2024-12-01T20:30:00,PT1H40M,337.95,True,None
DEN,MCI,2024-12-01T21:04:00,2024-12-01T23:44:00,PT1H40M,337.95,True,None
DEN,MCI,2024-12-01T08:01:00,2024-12-01T10:51:00,PT1H50M,337.95,True,None
DEN,MCI,2024-12-01T07:49:00,2024-12-01T14:28:00,PT5H39M,346.99,False,ORD
DEN,MCI,2024-12-01T11:15:00,2024-12-01T17:38:00,PT5H23M,493.19,False,ORD
DEN,MCI,2024-12-01T09:40:00,2024-12-01T17:38:00,PT6H58M,493.19,False,ORD
DEN,MCI,2024-12-01T23:59:00,2024-12-02T02:44:00,PT1H45M,607.77,True,None
DEN,MCI,2024-12-01T13:25:00,2024-12-01T19:45:00,PT5H20M,616.81,False,ORD
DEN,MCI,2024-12-01T16:29:00,2024-12-01T23:07:00,PT5H38M,616.81,False,ORD
DEN,MCI,2024-12-01T15:24:00,2024-12-01T23:07:00,PT6H43M,616.81,False,ORD
DEN,MCI,2024-12-01T11:15:00,2024-12-01T19:45:00,PT7H30M,616.81,False,ORD
DEN,MCI,2024-12-01T15:24:00,2024-12-01T21:48:00,PT5H24M,616.81,False,ORD
DEN,MCI,2024-12-01T13:25:00,2024-12-01T21:48:00,PT7H23M,616.81,False,ORD
